collection,group_name,group_description,group_type,group_sort_order,group_active,option_name,option_description,option_image_url,option_sort_order,option_active
Gallery Book,Materiaal,Cover materiaal,single,30,1,Genuine Leather,Echt leer,,30,1
Gallery Book,Materiaal,Cover materiaal,single,30,1,Da Vinci,Da Vinci serie,,40,1
Gallery Book,Materiaal,Cover materiaal,single,30,1,Coconut,Coconut textuur,,50,1
Gallery Book,Materiaal,Cover materiaal,single,30,1,Volluto,Volluto afwerking,,60,1
Fusion Book,Formaat,Albumformaat,single,10,1,20x20cm,Vierkant formaat,,10,1
Fusion Book,Formaat,Albumformaat,single,10,1,21x29cm,A4 Staand,,20,1
Fusion Book,Formaat,Albumformaat,single,10,1,29x21cm,A4 Liggend,,30,1
Fusion Book,Formaat,Albumformaat,single,10,1,30x30cm,Groot vierkant,,40,1
Fusion Book,Formaat,Albumformaat,single,10,1,30x40cm,Groot liggend,,50,1
Fusion Book,Formaat,Albumformaat,single,10,1,40x30cm,Groot staand,,60,1
Fusion Book,Materiaal,Cover materiaal,single,20,1,Standaard,Standaard materiaal,,10,1
Fusion Book,Materiaal,Cover materiaal,single,20,1,Luxury,Luxe materiaal,,20,1
Fusion Book,Materiaal,Cover materiaal,single,20,1,Genuine Leather,Echt leer,,30,1
Fusion Book,Materiaal,Cover materiaal,single,20,1,Anker,Anker serie,,40,1
Fusion Book,Materiaal,Cover materiaal,single,20,1,Cornucopia,Cornucopia patroon,,50,1
Fusion Book,Materiaal,Cover materiaal,single,20,1,Bakuma,Bakuma materiaal,,60,1
Basic Collection,Papier,Papiertype,single,10,1,Photopapier Lustre + UV Varnish,Standaard lustre met UV vernis,,10,1
Basic Collection,Papier,Papiertype,single,10,1,Silk Paper,Zijdeglans papier,,20,1
Basic Collection,Materiaal,Cover materiaal,single,20,1,Standaard,Standaard materiaal,,10,1
Basic Collection,Materiaal,Cover materiaal,single,20,1,Luxury,Luxe materiaal,,20,1
Basic Collection,Materiaal,Cover materiaal,single,20,1,Genuine Leather,Echt leer,,30,1
Basic Collection,Materiaal,Cover materiaal,single,20,1,Custom Materiaal,Diverse custom materiaalopties,,40,1
